merged_log_run_id=20260217_082339
[ml_system.log] 2026-02-17 08:24:40,247 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=901 degree=2 alpha=0.0 val_mse=0.001270
[ml_system.log] 2026-02-17 08:24:40,296 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=901 degree=2 alpha=0.0 val_mse=0.000979
[ml_system.log] 2026-02-17 08:24:40,298 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=901 degree=2 alpha=0.0 val_mse=0.001660
[system_20260217_082339.log] 2026-02-17 08:24:40,245 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=851 degree=2 alpha=0.0 val_mse=0.001590
[system_20260217_082339.log] 2026-02-17 08:24:40,247 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=901 degree=2 alpha=0.0 val_mse=0.001270
[system_20260217_082339.log] 2026-02-17 08:24:40,296 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=901 degree=2 alpha=0.0 val_mse=0.000979
[system_20260217_082339.log] 2026-02-17 08:24:40,298 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=901 degree=2 alpha=0.0 val_mse=0.002691
[system_20260217_082339.log] 2026-02-17 08:24:40,298 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=901 degree=2 alpha=0.0 val_mse=0.001660
[ml_system.log] 2026-02-17 08:25:00,441 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=1101 degree=2 alpha=0.0 val_mse=0.002093
[ml_system.log] 2026-02-17 08:25:00,442 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=1051 degree=2 alpha=0.0 val_mse=0.002347
[ml_system.log] 2026-02-17 08:25:00,446 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=1101 degree=2 alpha=0.0 val_mse=0.001699
[ml_system.log] 2026-02-17 08:25:00,464 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=1101 degree=2 alpha=0.0 val_mse=0.002552
